"","Reading","Cinema","Show","Exhibition","Computer","Sport","Walking","Travelling","Collecting","Volunteering","Mechanic","Gardening","Knitting","Cooking","Fishing","Sex","Age","Marital status","Profession"
"1223","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","M","(55,65]","Married","Employee"
"1224","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","No","M","(45,55]","Divorcee","Unskilled worker"
"1225","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","M","[15,25]","Single","Unskilled worker"
"1226","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","M","(25,35]","Single","Unskilled worker"
"1227","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","F","(65,75]","Married","Employee"
"1228","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","F","[15,25]","Single","Employee"
"1229","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","Yes","No","M","(35,45]","Divorcee","Employee"
"1230","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","F","(25,35]","Single","Employee"
"1231","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","F","[15,25]","Single","Foreman"
"1232","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","M","(55,65]","Divorcee","Unskilled worker"
"1233","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","No","M","(35,45]","Married","Other"
"1234","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","Yes","No","M","(55,65]","Married","Management"
"1235","Yes","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","F","(35,45]","Single","Employee"
"1236","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(65,75]","Widower","Employee"
"1237","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","F","(45,55]","Divorcee","Employee"
"1238","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","M","[15,25]","Single","Technician"
"1239","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","No","F","(45,55]","Remarried","Employee"
"1240","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","No","M","(45,55]","Single","Foreman"
"1241","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","F","(25,35]","Married","Employee"
"1242","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","No","F","(55,65]","Divorcee","Foreman"
"1243","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","No","M","(25,35]","Single","Management"
"1244","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","M","[15,25]","Single","Employee"
"1245","Yes","No","No","Yes","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No","F","(25,35]","Remarried","Employee"
"1246","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","F","(25,35]","Single","Manual labourer"
"1247","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(75,85]","Widower","Employee"
"1248","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","F","(25,35]","Divorcee","Employee"
"1249","Yes","No","No","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","F","(65,75]","Married","Employee"
"1250","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","M","(75,85]","Remarried","Management"
"1251","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","M","(45,55]","Married","Foreman"
"1252","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","F","(65,75]","Married","Unskilled worker"
"1253","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","M","(35,45]","Remarried","Manual labourer"
"1254","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","M","(55,65]","Married","Manual labourer"
"1255","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","M","[15,25]","Single","Manual labourer"
"1256","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","M","(45,55]","Married","Manual labourer"
"1257","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","F","(45,55]","Married","Employee"
"1258","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","F","(45,55]","Divorcee","Employee"
"1259","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","F","(45,55]","Married","Employee"
"1260","Yes","No","No","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","F","(25,35]","Single","Employee"
"1261","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","M","(25,35]","Single","Manual labourer"
"1262","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","M","(35,45]","Divorcee","Foreman"
"1263","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","F","(45,55]","Married","Foreman"
"1264","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","M","(35,45]","Single","Unskilled worker"
"1265","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","F","(35,45]","Married","Management"
"1266","No","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","F","(25,35]","Married","Employee"
"1267","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","M","(65,75]","Widower","Management"
"1268","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","M","(35,45]","Married","Manual labourer"
"1269","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","F","[15,25]","Single","Employee"
"1270","No","No","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","F","(35,45]","Married","Employee"
"1271","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","M","(45,55]","Divorcee","Foreman"
"1272","Yes","No","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","Yes","No","F","(35,45]","Married","Employee"
"1273","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","M","(55,65]","Married","Management"
"1274","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","M","(35,45]","Married","Manual labourer"
"1275","Yes","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","M","(35,45]","Single","Management"
"1276","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No","F","(55,65]","Married","Employee"
"1277","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","M","(45,55]","Remarried","Manual labourer"
"1278","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","M","(55,65]","Married","Foreman"
"1279","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","F","(25,35]","Married","Employee"
"1280","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","F","(45,55]","Remarried","Management"
"1281","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","F","(55,65]","Married","Employee"
"1282","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","M","(45,55]","Married","Employee"
"1283","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","F","(45,55]","Married","Manual labourer"
"1284","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","F","(45,55]","Remarried","Employee"
"1285","No","No","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","F","(45,55]","Married","Employee"
"1286","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","No","No","No","M","(55,65]","Married","Employee"
"1287","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","M","(45,55]","Married","Technician"
"1288","Yes","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","M","(65,75]","Remarried","Management"
"1289","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","M","(45,55]","Married","Management"
"1290","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","F","(45,55]","Remarried","Employee"
"1291","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","M","(35,45]","Married","Employee"
"1292","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","F","(45,55]","Widower","Technician"
"1293","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","M","(35,45]","Single","Employee"
"1294","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","F","(45,55]","Single","Unskilled worker"
"1295","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","F","(25,35]","Married","Employee"
"1296","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","F","(25,35]","Single","Unskilled worker"
"1297","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","F","(45,55]","Married","Management"
"1298","Yes","No","Yes","No","No","No","Yes","No","No","Yes","No","Yes","Yes","No","No","F","(55,65]","Widower","Employee"
"1299","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","Yes","M","(55,65]","Married","Unskilled worker"
"1300","Yes","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","M","(55,65]","Divorcee","Management"
"1301","Yes","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","M","(45,55]","Married","Unskilled worker"
"1302","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","M","(55,65]","Married","Technician"
"1303","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","M","(45,55]","Married","Manual labourer"
"1304","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","M","(45,55]","Divorcee","Foreman"
"1305","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","F","(45,55]","Married","Technician"
"1306","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","Yes","M","(55,65]","Married","Manual labourer"
"1307","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","F","(25,35]","Single","Employee"
"1308","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","F","(35,45]","Married","Employee"
"1309","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","F","(55,65]","Divorcee","Employee"
"1310","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(35,45]","Married","Employee"
"1311","Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","No","M","(45,55]","Divorcee","Unskilled worker"
"1312","Yes","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","Yes","No","F","(45,55]","Divorcee","Management"
"1313","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","M","(35,45]","Married","Foreman"
"1314","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","F","[15,25]","Single","Employee"
"1315","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","F","(45,55]","Divorcee","Employee"
"1316","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","No","F","(25,35]","Married","Employee"
"1317","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","M","(45,55]","Married","Employee"
"1318","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","F","(75,85]","Widower","Foreman"
"1319","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","M","(55,65]","Married","Management"
"1320","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","M","(35,45]","Married","Management"
"1321","No","Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","M","(45,55]","Divorcee","Technician"
"1322","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes","No","No","F","(55,65]","Single","Foreman"
"1323","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","F","(25,35]","Married","Employee"
"1324","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","F","(25,35]","Single","Employee"
"1325","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","M","(35,45]","Single","Management"
"1326","No","No","No","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","No","F","(55,65]","Married","Employee"
"1327","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","F","(45,55]","Remarried","Employee"
"1328","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","F","(55,65]","Single","Management"
"1329","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(25,35]","Single","Unskilled worker"
"1330","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","F","(25,35]","Single","Foreman"
"1331","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No","F","(35,45]","Married","Management"
"1332","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","M","(55,65]","Married","Management"
"1333","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","F","(45,55]","Divorcee","Employee"
"1334","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","F","(25,35]","Married","Employee"
"1335","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","M","[15,25]","Single","Employee"
"1336","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(45,55]","Married","Employee"
"1337","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","F","(45,55]","Married","Other"
"1338","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","F","(45,55]","Married","Employee"
"1339","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","F","[15,25]","Single","Foreman"
"1340","Yes","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","F","(45,55]","Married","Employee"
"1341","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","M","(45,55]","Married","Technician"
"1342","Yes","No","No","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","M","(55,65]","Married","Foreman"
"1343","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","M","(25,35]","Married","Management"
"1344","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","No","M","(25,35]","Single","Management"
"1345","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","No","F","(45,55]","Married","Management"
"1346","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","F","(65,75]","Widower","Employee"
"1347","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","F","(65,75]","Married","Foreman"
"1348","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","F","(35,45]","Divorcee","Foreman"
"1349","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","F","(55,65]","Married","Management"
"1350","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","M","(25,35]","Married","Manual labourer"
"1351","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","F","(35,45]","Divorcee","Employee"
"1352","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","M","(35,45]","Remarried","Foreman"
"1353","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","F","(25,35]","Married","Employee"
"1354","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","M","(45,55]","Married","Manual labourer"
"1355","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","M","(35,45]","Single","Management"
"1356","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","F","(45,55]","Married","Management"
"1357","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","Yes","Yes","No","F","(25,35]","Married","Foreman"
"1358","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","M","(45,55]","Remarried","Manual labourer"
"1359","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No","M","(45,55]","Married","Management"
"1360","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","F","(35,45]","Married","Employee"
"1361","Yes","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","F","(35,45]","Married","Employee"
"1362","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","F","(35,45]","Married","Employee"
"1363","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","F","(45,55]","Married","Employee"
"1364","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","M","(25,35]","Married","Technician"
"1365","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","F","(45,55]","Married","Employee"
"1366","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","M","(35,45]","Married","Management"
"1367","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","M","(65,75]","Remarried","Foreman"
"1368","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","M","(25,35]","Single","Manual labourer"
"1369","No","No","No","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No","M","(45,55]","Married","Foreman"
"1370","Yes","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","M","(45,55]","Married","Management"
"1371","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","M","(55,65]","Remarried","Management"
"1372","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","F","(45,55]","Married","Employee"
"1373","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","F","(45,55]","Married","Foreman"
"1374","No","Yes","No","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","No","M","(35,45]","Married","Foreman"
"1375","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","F","[15,25]","Single","Employee"
"1376","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","F","(35,45]","Divorcee","Unskilled worker"
"1377","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","M","(65,75]","Married","Foreman"
"1378","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","M","(35,45]","Married","Employee"
"1379","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","M","(35,45]","Married","Manual labourer"
"1380","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","M","(25,35]","Married","Management"
"1381","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","M","(75,85]","Single","Foreman"
"1382","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","F","(45,55]","Married","Management"
"1383","No","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","M","(35,45]","Married","Foreman"
"1384","Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","F","(35,45]","Married","Employee"
"1385","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","F","(55,65]","Married","Employee"
"1386","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","Yes","No","F","(35,45]","Married","Employee"
"1387","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","F","(25,35]","Single","Employee"
"1388","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","M","(45,55]","Married","Unskilled worker"
"1389","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes","No","No","Yes","No","M","(45,55]","Single","Management"
"1390","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No","F","(45,55]","Divorcee","Employee"
"1391","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","Yes","M","(25,35]","Single","Technician"
"1392","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","M","(65,75]","Married","Unskilled worker"
"1393","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","F","(35,45]","Married","Management"
"1394","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","F","(35,45]","Married","Employee"
"1395","No","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","F","(45,55]","Married","Management"
"1396","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","F","(45,55]","Married","Employee"
"1397","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","M","(45,55]","Married","Employee"
"1398","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","M","(55,65]","Remarried","Manual labourer"
"1399","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","F","(35,45]","Married","Employee"
"1400","Yes","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","F","(55,65]","Married","Other"
"1401","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","M","(25,35]","Married","Manual labourer"
"1402","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","F","(35,45]","Married","Employee"
"1403","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","F","(45,55]","Married","Management"
"1404","No","Yes","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","F","(65,75]","Widower","Employee"
"1405","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","F","(35,45]","Married","Employee"
"1406","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","F","(55,65]","Remarried","Employee"
"1407","No","No","No","No","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","F","(35,45]","Married","Employee"
"1408","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","F","(35,45]","Married","Employee"
"1409","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(75,85]","Divorcee","Manual labourer"
"1410","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes","M","(45,55]","Married","Manual labourer"
"1411","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","M","(25,35]","Married","Manual labourer"
"1412","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","F","(25,35]","Divorcee","Employee"
"1413","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","M","(45,55]","Married","Foreman"
"1414","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No","F","(45,55]","Remarried","Employee"
"1415","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(45,55]","Married","Employee"
"1416","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","F","(45,55]","Married","Employee"
"1417","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","M","(35,45]","Divorcee","Technician"
"1418","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","M","(45,55]","Married","Technician"
"1419","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","F","(45,55]","Remarried","Employee"
"1420","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","M","(65,75]","Married","Management"
"1421","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","M","(25,35]","Single","Technician"
"1422","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","M","(25,35]","Married","Employee"
"1423","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","F","(55,65]","Married","Other"
"1424","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","M","(35,45]","Married","Foreman"
"1425","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","No","F","(45,55]","Married","Foreman"
"1426","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","F","(55,65]","Widower","Employee"
"1427","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","F","(45,55]","Widower","Foreman"
"1428","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","F","(55,65]","Remarried","Manual labourer"
"1429","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","M","(45,55]","Married","Foreman"
"1430","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","M","(25,35]","Single","Management"
"1431","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","F","(35,45]","Married","Employee"
"1432","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","F","(25,35]","Single","Employee"
"1433","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","M","[15,25]","Single","Other"
"1434","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(35,45]","Married","Employee"
"1435","Yes","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","M","(55,65]","Married","Unskilled worker"
"1436","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","M","(55,65]","Married","Unskilled worker"
"1437","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","M","(35,45]","Married","Foreman"
"1438","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","F","(35,45]","Remarried","Foreman"
"1439","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","F","(45,55]","Married","Technician"
"1440","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No","Yes","Yes","No","F","(45,55]","Married","Employee"
"1441","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","M","(35,45]","Married","Management"
"1442","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","F","(45,55]","Divorcee","Employee"
"1443","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","M","(55,65]","Married","Manual labourer"
"1444","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","F","(45,55]","Married","Employee"
"1445","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","M","(45,55]","Married","Management"
"1446","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","No","M","(55,65]","Remarried","Management"
"1447","Yes","No","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No","M","(25,35]","Single","Manual labourer"
